text,target,keywords_sorted,keywords_indices,keywords_count
"['no', 'i', 'need', 'information', 'for', 'a', 'chemistry', 'class']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'for', 'a', '<KEYWORD>', 'chemistry', '<KEYWORD>', 'class']","['need', 'chemistry']","[2, 6]",2
"['no', 'i', 'need', 'information', 'of', 'shoeing', 'horsed', 'and', 'horseshoe', 'problems']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'of', '<KEYWORD>', 'shoeing', '<KEYWORD>', 'horsed', 'and', 'horseshoe', 'problems']","['need', 'information', 'shoeing']","[2, 3, 5]",3
"['no', 'i', 'need', 'information', 'of', 'the', 'bowflex', 'power', 'pro']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'bowflex', '<KEYWORD>', '<KEYWORD>', 'power', '<KEYWORD>', 'pro']","['need', 'information', 'bowflex', 'power']","[2, 3, 6, 7]",4
"['no', 'i', 'need', 'information', 'on', 'barack', 'obama']","['no', 'i', 'need', '<KEYWORD>', 'information', '<KEYWORD>', 'on', '<KEYWORD>', 'barack', '<KEYWORD>', '<KEYWORD>', 'obama', '<KEYWORD>']","['information', 'barack', 'obama']","[3, 5, 6]",3
"['no', 'i', 'need', 'information', 'on', 'buying', 'real', 'estate']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'buying', '<KEYWORD>', 'real', '<KEYWORD>', 'estate']","['need', 'real']","[2, 6]",2
"['no', 'i', 'need', 'information', 'on', 'cave', 'paintings', 'in', 'france']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'cave', 'paintings', 'in', '<KEYWORD>', 'france', '<KEYWORD>']","['need', 'france']","[2, 8]",2
"['no', 'i', 'need', 'information', 'on', 'da', 'vincis', 'interpretation', 'of', 'the', 'last', 'supper']","['no', 'i', 'need', 'information', 'on', 'da', '<KEYWORD>', 'vincis', '<KEYWORD>', 'interpretation', 'of', 'the', 'last', '<KEYWORD>', 'supper', '<KEYWORD>']","['vincis', 'supper']","[6, 11]",2
"['no', 'i', 'need', 'information', 'on', 'geothermal', 'activity']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'on', 'geothermal', '<KEYWORD>', 'activity', '<KEYWORD>']","['need', 'information', 'activity']","[2, 3, 6]",3
"['no', 'i', 'need', 'information', 'on', 'how', 'many', 'occur', 'every', 'year', 'in', 'the', 'us']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'how', 'many', 'occur', 'every', '<KEYWORD>', 'year', '<KEYWORD>', 'in', 'the', 'us']","['need', 'year']","[2, 9]",2
"['no', 'i', 'need', 'information', 'on', 'how', 'they', 'are', 'forecasted']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'how', 'they', 'are', '<KEYWORD>', 'forecasted', '<KEYWORD>']","['need', 'forecasted']","[2, 8]",2
"['no', 'i', 'need', 'information', 'on', 'iron']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', '<KEYWORD>', 'iron', '<KEYWORD>']","['need', 'iron']","[2, 5]",2
"['no', 'i', 'need', 'information', 'on', 'mini', 'gastric', 'bypass', 'surgery']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'mini', 'gastric', '<KEYWORD>', 'bypass', '<KEYWORD>', 'surgery']","['need', 'bypass']","[2, 7]",2
"['no', 'i', 'need', 'information', 'on', 'president', 'obama', 'the', 'person']","['no', 'i', 'need', '<KEYWORD>', 'information', '<KEYWORD>', 'on', 'president', '<KEYWORD>', 'obama', '<KEYWORD>', 'the', 'person']","['information', 'obama']","[3, 6]",2
"['no', 'i', 'need', 'information', 'on', 'recommended', 'exercises']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'recommended', '<KEYWORD>', 'exercises', '<KEYWORD>']","['need', 'exercises']","[2, 6]",2
"['no', 'i', 'need', 'information', 'on', 'repairing', 'a', 'toilet']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', '<KEYWORD>', 'repairing', '<KEYWORD>', 'a', 'toilet']","['need', 'repairing']","[2, 5]",2
"['no', 'i', 'need', 'information', 'on', 'shoeing', 'horses', 'and', 'horseshoe', 'problems']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'on', '<KEYWORD>', 'shoeing', '<KEYWORD>', 'horses', 'and', 'horseshoe', 'problems']","['need', 'information', 'shoeing']","[2, 3, 5]",3
"['no', 'i', 'need', 'information', 'on', 'the', 'avon', 'products', 'company']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'on', 'the', 'avon', 'products', 'company']","['need', 'information']","[2, 3]",2
"['no', 'i', 'need', 'information', 'on', 'the', 'broadway', 'musical']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', 'on', 'the', '<KEYWORD>', 'broadway', '<KEYWORD>', 'musical']","['need', 'broadway']","[2, 6]",2
"['no', 'i', 'need', 'information', 'on', 'the', 'movie']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'on', 'the', 'movie']","['need', 'information']","[2, 3]",2
"['no', 'i', 'need', 'information', 'on', 'the', 'panthers', 'sports', 'teams', 'porterville', 'high', 'school', 'in', 'california']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'on', 'the', 'panthers', 'sports', 'teams', 'porterville', 'high', 'school', 'in', 'california']","['need', 'information']","[2, 3]",2
"['no', 'i', 'need', 'information', 'on', 'the', 'types', 'of', 'worm', 'viruses', 'and', 'spyware', 'that', 'get', 'into', 'a', 'computer']","['no', 'i', 'need', 'information', 'on', 'the', '<KEYWORD>', 'types', '<KEYWORD>', 'of', '<KEYWORD>', 'worm', '<KEYWORD>', 'viruses', 'and', '<KEYWORD>', 'spyware', '<KEYWORD>', 'that', 'get', 'into', 'a', '<KEYWORD>', 'computer', '<KEYWORD>']","['types', 'worm', 'spyware', 'computer']","[6, 8, 11, 16]",4
"['no', 'i', 'need', 'information', 'on', 'when', 'she', 'was', 'arrested', 'for', 'inside', 'trader', 'fraud']","['no', 'i', 'need', 'information', 'on', 'when', 'she', 'was', 'arrested', 'for', 'inside', '<KEYWORD>', 'trader', '<KEYWORD>', '<KEYWORD>', 'fraud', '<KEYWORD>']","['trader', 'fraud']","[11, 12]",2
"['no', 'i', 'need', 'information', 'regarding', 'the', 'panthers', 'sports', 'teams', 'of', 'poterville', 'high', 'school', 'in', 'california']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', '<KEYWORD>', 'regarding', '<KEYWORD>', 'the', '<KEYWORD>', 'panthers', '<KEYWORD>', 'sports', 'teams', 'of', 'poterville', 'high', 'school', 'in', 'california']","['need', 'information', 'regarding', 'panthers']","[2, 3, 4, 6]",4
"['no', 'i', 'need', 'information', 'specifically', 'on', 'tendinitis']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'information', '<KEYWORD>', 'specifically', '<KEYWORD>', 'on', 'tendinitis']","['need', 'specifically']","[2, 4]",2
"['no', 'i', 'need', 'informations', 'about', 'the', 'volvo', 'xc90', 'suv']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'informations', '<KEYWORD>', 'about', 'the', '<KEYWORD>', 'volvo', '<KEYWORD>', '<KEYWORD>', 'xc90', '<KEYWORD>', 'suv']","['need', 'informations', 'volvo', 'xc90']","[2, 3, 6, 7]",4
"['no', 'i', 'need', 'informaton', 'about', 'the', 'titan', 'truck', 'made', 'by', 'nisson']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'informaton', 'about', 'the', '<KEYWORD>', 'titan', '<KEYWORD>', 'truck', 'made', 'by', 'nisson']","['need', 'titan']","[2, 6]",2
"['no', 'i', 'need', 'infromation', 'on', 'the', 'vietnam', 'veterans', 'memorial', 'in', 'washington', 'dc']","['no', 'i', 'need', 'infromation', 'on', 'the', '<KEYWORD>', 'vietnam', '<KEYWORD>', '<KEYWORD>', 'veterans', '<KEYWORD>', 'memorial', 'in', '<KEYWORD>', 'washington', '<KEYWORD>', 'dc']","['vietnam', 'veterans', 'washington']","[6, 7, 10]",3
"['no', 'i', 'need', 'instructions', 'for', 'operating', 'a', 'sewing', 'machine']","['no', 'i', 'need', 'instructions', 'for', '<KEYWORD>', 'operating', '<KEYWORD>', 'a', '<KEYWORD>', 'sewing', '<KEYWORD>', 'machine']","['operating', 'sewing']","[5, 7]",2
"['no', 'i', 'need', 'instructions', 'for', 'weather', 'stripping', 'my', 'sliding', 'glass', 'door']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'instructions', 'for', 'weather', 'stripping', 'my', '<KEYWORD>', 'sliding', '<KEYWORD>', 'glass', 'door']","['need', 'sliding']","[2, 8]",2
"['no', 'i', 'need', 'instructions', 'on', 'grilling', 'a', 'pork', 'tenderloin']","['no', 'i', 'need', '<KEYWORD>', 'instructions', '<KEYWORD>', 'on', '<KEYWORD>', 'grilling', '<KEYWORD>', 'a', 'pork', '<KEYWORD>', 'tenderloin', '<KEYWORD>']","['instructions', 'grilling', 'tenderloin']","[3, 5, 8]",3
"['no', 'i', 'need', 'instructions', 'on', 'how', 'to', 'grow', 'figs', 'myself']","['no', 'i', 'need', '<KEYWORD>', 'instructions', '<KEYWORD>', 'on', 'how', 'to', 'grow', '<KEYWORD>', 'figs', '<KEYWORD>', 'myself']","['instructions', 'figs']","[3, 8]",2
"['no', 'i', 'need', 'instructions', 'on', 'the', 'board', 'game']","['no', 'i', 'need', '<KEYWORD>', 'instructions', '<KEYWORD>', 'on', 'the', '<KEYWORD>', 'board', '<KEYWORD>', 'game']","['instructions', 'board']","[3, 6]",2
"['no', 'i', 'need', 'it', 'for', 'free']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'it', 'for', '<KEYWORD>', 'free', '<KEYWORD>']","['need', 'free']","[2, 5]",2
"['no', 'i', 'need', 'know', 'how', 'to', 'register', 'as', 'a', 'tax', 'preparer']","['no', 'i', 'need', 'know', 'how', 'to', '<KEYWORD>', 'register', '<KEYWORD>', 'as', 'a', '<KEYWORD>', 'tax', '<KEYWORD>', 'preparer']","['register', 'tax']","[6, 9]",2
"['no', 'i', 'need', 'materials', 'on', 'teaching', 'and', 'learning', 'korean']","['no', 'i', 'need', '<KEYWORD>', 'materials', '<KEYWORD>', 'on', 'teaching', 'and', 'learning', '<KEYWORD>', 'korean', '<KEYWORD>']","['materials', 'korean']","[3, 8]",2
"['no', 'i', 'need', 'movies', 'and', 'tv', 'shows', 'depicting', 'the', 'secret', 'garden']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'movies', 'and', 'tv', 'shows', 'depicting', 'the', '<KEYWORD>', 'secret', '<KEYWORD>', 'garden']","['need', 'secret']","[2, 9]",2
"['no', 'i', 'need', 'nutritional', 'and', 'health', 'info']","['no', 'i', 'need', 'nutritional', 'and', '<KEYWORD>', 'health', '<KEYWORD>', '<KEYWORD>', 'info', '<KEYWORD>']","['health', 'info']","[5, 6]",2
"['no', 'i', 'need', 'pictures', 'of', 'raised', 'garden', 'beds']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'pictures', 'of', '<KEYWORD>', 'raised', '<KEYWORD>', 'garden', '<KEYWORD>', 'beds', '<KEYWORD>']","['need', 'raised', 'beds']","[2, 5, 7]",3
"['no', 'i', 'need', 'pro', 'beach', 'volleyball', 'tounament', 'info']","['no', 'i', 'need', '<KEYWORD>', 'pro', '<KEYWORD>', '<KEYWORD>', 'beach', '<KEYWORD>', 'volleyball', 'tounament', '<KEYWORD>', 'info', '<KEYWORD>']","['pro', 'beach', 'info']","[3, 4, 7]",3
"['no', 'i', 'need', 'product', 'ratings']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'product', '<KEYWORD>', 'ratings', '<KEYWORD>']","['need', 'ratings']","[2, 4]",2
"['no', 'i', 'need', 'recall', 'notices', 'for', 'the', 'bowflex', 'power', 'pro']","['no', 'i', 'need', '<KEYWORD>', 'recall', '<KEYWORD>', 'notices', 'for', 'the', '<KEYWORD>', 'bowflex', '<KEYWORD>', '<KEYWORD>', 'power', '<KEYWORD>', '<KEYWORD>', 'pro', '<KEYWORD>']","['recall', 'bowflex', 'power', 'pro']","[3, 7, 8, 9]",4
"['no', 'i', 'need', 'registration', 'information']","['no', 'i', 'need', '<KEYWORD>', 'registration', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>']","['registration', 'information']","[3, 4]",2
"['no', 'i', 'need', 'reviews', 'on', 'electronic', 'keyboards', 'and', 'digital', 'pianos']","['no', 'i', 'need', '<KEYWORD>', 'reviews', '<KEYWORD>', 'on', '<KEYWORD>', 'electronic', '<KEYWORD>', '<KEYWORD>', 'keyboards', '<KEYWORD>', 'and', 'digital', 'pianos']","['reviews', 'electronic', 'keyboards']","[3, 5, 6]",3
"['no', 'i', 'need', 'schedules', 'and', 'fares', 'for', 'the', 'bart', 'train']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'schedules', '<KEYWORD>', 'and', 'fares', 'for', 'the', 'bart', 'train']","['need', 'schedules']","[2, 3]",2
"['no', 'i', 'need', 'sewing', 'patterns']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'sewing', '<KEYWORD>', 'patterns']","['need', 'sewing']","[2, 3]",2
"['no', 'i', 'need', 'statistics']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'statistics', '<KEYWORD>']","['need', 'statistics']","[2, 3]",2
"['no', 'i', 'need', 'statistics', 'for', 'the', 'program']","['no', 'i', 'need', '<KEYWORD>', 'statistics', '<KEYWORD>', 'for', 'the', '<KEYWORD>', 'program', '<KEYWORD>']","['statistics', 'program']","[3, 6]",2
"['no', 'i', 'need', 'support', 'groups', 'for', 'fibromyalgia', 'sufferers']","['no', 'i', 'need', 'support', '<KEYWORD>', 'groups', '<KEYWORD>', 'for', '<KEYWORD>', 'fibromyalgia', '<KEYWORD>', 'sufferers']","['groups', 'fibromyalgia']","[4, 6]",2
"['no', 'i', 'need', 'the', 'address', 'of', 'the', 'airport', 'in', 'ontario', 'canada']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', 'address', 'of', 'the', '<KEYWORD>', 'airport', '<KEYWORD>', 'in', '<KEYWORD>', 'ontario', '<KEYWORD>', 'canada']","['need', 'airport', 'ontario']","[2, 7, 9]",3
"['no', 'i', 'need', 'the', 'beatthegmat', 'blog', 'and', 'forums']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', 'beatthegmat', '<KEYWORD>', 'blog', '<KEYWORD>', 'and', 'forums']","['need', 'blog']","[2, 5]",2
"['no', 'i', 'need', 'the', 'causes', 'of', 'lipoma', 'tumors', 'in', 'humans']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', 'causes', 'of', '<KEYWORD>', 'lipoma', '<KEYWORD>', 'tumors', 'in', 'humans']","['need', 'lipoma']","[2, 6]",2
"['no', 'i', 'need', 'the', 'contact', 'information', 'for', 'mayo', 'clinic', 'in', 'jacksonville', 'florida']","['no', 'i', 'need', 'the', '<KEYWORD>', 'contact', '<KEYWORD>', 'information', 'for', '<KEYWORD>', 'mayo', '<KEYWORD>', '<KEYWORD>', 'clinic', '<KEYWORD>', 'in', 'jacksonville', '<KEYWORD>', 'florida', '<KEYWORD>']","['contact', 'mayo', 'clinic', 'florida']","[4, 7, 8, 11]",4
"['no', 'i', 'need', 'the', 'customer', 'services', 'information', 'for', 'all', 'three', 'major', 'credit', 'reporting', 'agencies']","['no', 'i', 'need', 'the', 'customer', 'services', 'information', 'for', 'all', '<KEYWORD>', 'three', '<KEYWORD>', '<KEYWORD>', 'major', '<KEYWORD>', '<KEYWORD>', 'credit', '<KEYWORD>', '<KEYWORD>', 'reporting', '<KEYWORD>', 'agencies']","['three', 'major', 'credit', 'reporting']","[9, 10, 11, 12]",4
"['no', 'i', 'need', 'the', 'demographics', 'of', 'east', 'ridge', 'high', 'school', 'in', 'lick', 'creek', 'kentucky']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', 'demographics', 'of', '<KEYWORD>', 'east', '<KEYWORD>', 'ridge', 'high', 'school', 'in', '<KEYWORD>', 'lick', '<KEYWORD>', '<KEYWORD>', 'creek', '<KEYWORD>', 'kentucky']","['need', 'east', 'lick', 'creek']","[2, 6, 11, 12]",4
"['no', 'i', 'need', 'the', 'diseases', 'and', 'how', 'they', 'are', 'treated']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', 'diseases', 'and', 'how', 'they', 'are', '<KEYWORD>', 'treated', '<KEYWORD>']","['need', 'treated']","[2, 9]",2
"['no', 'i', 'need', 'the', 'historical', 'information', 'about', 'the', 'office', 'of', 'the', 'president', 'of', 'the', 'united', 'states']","['no', 'i', 'need', 'the', 'historical', 'information', 'about', 'the', '<KEYWORD>', 'office', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'president', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'united', '<KEYWORD>', '<KEYWORD>', 'states', '<KEYWORD>']","['office', 'president', 'united', 'states']","[8, 11, 14, 15]",4
"['no', 'i', 'need', 'the', 'homepage']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', '<KEYWORD>', 'homepage', '<KEYWORD>']","['need', 'homepage']","[2, 4]",2
"['no', 'i', 'need', 'the', 'hours', 'of', 'operation', 'for', 'the', 'library']","['no', 'i', 'need', 'the', 'hours', 'of', '<KEYWORD>', 'operation', '<KEYWORD>', 'for', 'the', '<KEYWORD>', 'library', '<KEYWORD>']","['operation', 'library']","[6, 9]",2
"['no', 'i', 'need', 'the', 'know', 'the', 'certificate', 'programs', 'that', 'are', 'abaapproved']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', 'know', 'the', '<KEYWORD>', 'certificate', '<KEYWORD>', '<KEYWORD>', 'programs', '<KEYWORD>', 'that', 'are', 'abaapproved']","['need', 'certificate', 'programs']","[2, 6, 7]",3
"['no', 'i', 'need', 'the', 'location', 'of', 'the', 'stores']","['no', 'i', 'need', 'the', '<KEYWORD>', 'location', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'stores', '<KEYWORD>']","['location', 'stores']","[4, 7]",2
"['no', 'i', 'need', 'the', 'locations', 'and', 'dates', 'of', 'them']","['no', 'i', 'need', 'the', '<KEYWORD>', 'locations', '<KEYWORD>', 'and', '<KEYWORD>', 'dates', '<KEYWORD>', 'of', 'them']","['locations', 'dates']","[4, 6]",2
"['no', 'i', 'need', 'the', 'nutritional', 'difference', 'between', 'butter', 'and', 'margarine']","['no', 'i', 'need', 'the', '<KEYWORD>', 'nutritional', '<KEYWORD>', 'difference', 'between', '<KEYWORD>', 'butter', '<KEYWORD>', 'and', 'margarine']","['nutritional', 'butter']","[4, 7]",2
"['no', 'i', 'need', 'the', 'rules', 'for', 'a', '403b', 'account']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', '<KEYWORD>', 'rules', '<KEYWORD>', 'for', 'a', '403b', 'account']","['need', 'rules']","[2, 4]",2
"['no', 'i', 'need', 'the', 'specifications']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', '<KEYWORD>', 'specifications', '<KEYWORD>']","['need', 'specifications']","[2, 4]",2
"['no', 'i', 'need', 'the', 'street', 'address', 'of', 'the', 'ontario', 'airport']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'the', '<KEYWORD>', 'street', '<KEYWORD>', '<KEYWORD>', 'address', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'ontario', '<KEYWORD>', 'airport']","['need', 'street', 'address', 'ontario']","[2, 4, 5, 8]",4
"['no', 'i', 'need', 'their', 'contact', 'information', 'please']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'their', 'contact', 'information', '<KEYWORD>', 'please', '<KEYWORD>']","['need', 'please']","[2, 6]",2
"['no', 'i', 'need', 'to', 'a', 'list', 'of', 'the', 'real', 'estate', 'listings', 'for', 'the', 'hoboken', 'nj', 'area']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'a', 'list', 'of', 'the', 'real', '<KEYWORD>', 'estate', '<KEYWORD>', 'listings', 'for', 'the', 'hoboken', '<KEYWORD>', 'nj', '<KEYWORD>', '<KEYWORD>', 'area', '<KEYWORD>']","['need', 'estate', 'nj', 'area']","[2, 9, 14, 15]",4
"['no', 'i', 'need', 'to', 'book', 'a', 'room', 'on', 'times', 'square']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', '<KEYWORD>', 'book', '<KEYWORD>', 'a', 'room', 'on', 'times', 'square']","['need', 'book']","[2, 4]",2
"['no', 'i', 'need', 'to', 'buy', 'parts', 'online']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'buy', '<KEYWORD>', 'parts', '<KEYWORD>', 'online']","['need', 'parts']","[2, 5]",2
"['no', 'i', 'need', 'to', 'calculate', 'my', 'obligation']","['no', 'i', 'need', 'to', '<KEYWORD>', 'calculate', '<KEYWORD>', 'my', '<KEYWORD>', 'obligation', '<KEYWORD>']","['calculate', 'obligation']","[4, 6]",2
"['no', 'i', 'need', 'to', 'dispute', 'credit', 'report', 'information']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'dispute', 'credit', '<KEYWORD>', 'report', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>']","['need', 'report', 'information']","[2, 6, 7]",3
"['no', 'i', 'need', 'to', 'find', 'a', 'map', 'of', 'barbados']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'a', 'map', 'of', 'barbados']","['need', 'find']","[2, 4]",2
"['no', 'i', 'need', 'to', 'find', 'a', 'retailer', 'that', 'sells', 'unlocked', 'cell', 'phones']","['no', 'i', 'need', 'to', 'find', 'a', 'retailer', 'that', '<KEYWORD>', 'sells', '<KEYWORD>', '<KEYWORD>', 'unlocked', '<KEYWORD>', '<KEYWORD>', 'cell', '<KEYWORD>', 'phones']","['sells', 'unlocked', 'cell']","[8, 9, 10]",3
"['no', 'i', 'need', 'to', 'find', 'attachement', 'parts', 'for', 'bobcast', 'tractors']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'attachement', 'parts', 'for', '<KEYWORD>', 'bobcast', '<KEYWORD>', 'tractors']","['need', 'find', 'bobcast']","[2, 4, 8]",3
"['no', 'i', 'need', 'to', 'find', 'dealership']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'find', '<KEYWORD>', 'dealership', '<KEYWORD>']","['need', 'dealership']","[2, 5]",2
"['no', 'i', 'need', 'to', 'find', 'historical', 'information', 'about', 'the', 'office', 'of', 'the', 'president', 'of', 'the', 'united', 'states']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'find', 'historical', 'information', 'about', 'the', '<KEYWORD>', 'office', '<KEYWORD>', 'of', 'the', 'president', 'of', 'the', '<KEYWORD>', 'united', '<KEYWORD>', '<KEYWORD>', 'states', '<KEYWORD>']","['need', 'office', 'united', 'states']","[2, 9, 15, 16]",4
"['no', 'i', 'need', 'to', 'find', 'hobby', 'stores', 'that', 'have', 'trains']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'find', '<KEYWORD>', 'hobby', '<KEYWORD>', 'stores', 'that', 'have', '<KEYWORD>', 'trains', '<KEYWORD>']","['need', 'hobby', 'trains']","[2, 5, 9]",3
"['no', 'i', 'need', 'to', 'find', 'law', 'firms', 'that', 'offer', 'services', 'related', 'to', 'child', 'support', 'in', 'indiana']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'find', 'law', '<KEYWORD>', 'firms', '<KEYWORD>', 'that', 'offer', 'services', 'related', 'to', 'child', '<KEYWORD>', 'support', '<KEYWORD>', 'in', '<KEYWORD>', 'indiana', '<KEYWORD>']","['need', 'firms', 'support', 'indiana']","[2, 6, 13, 15]",4
"['no', 'i', 'need', 'to', 'find', 'online', 'and', 'gameconsole', 'inuyasha', 'games']","['no', 'i', 'need', 'to', 'find', 'online', 'and', '<KEYWORD>', 'gameconsole', '<KEYWORD>', '<KEYWORD>', 'inuyasha', '<KEYWORD>', '<KEYWORD>', 'games', '<KEYWORD>']","['gameconsole', 'inuyasha', 'games']","[7, 8, 9]",3
"['no', 'i', 'need', 'to', 'find', 'online', 'sources', 'for', 'volvo', 'parts']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'online', 'sources', 'for', 'volvo', 'parts']","['need', 'find']","[2, 4]",2
"['no', 'i', 'need', 'to', 'find', 'out', 'the', 'withdrawal', 'limitations']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', 'find', 'out', 'the', '<KEYWORD>', 'withdrawal', '<KEYWORD>', 'limitations']","['need', 'withdrawal']","[2, 7]",2
"['no', 'i', 'need', 'to', 'find', 'pictures', 'of', 'them']","['no', 'i', '<KEYWORD>', 'need', '<KEYWORD>', 'to', '<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'pictures', '<KEYWORD>', 'of', 'them']","['need', 'find', 'pictures']","[2, 4, 5]",3
"['no', 'i', 'need', 'to', 'find', 'puppies', 'of', 'designer', 'dog', 'breeds', 'for', 'sale']","['no', 'i', 'need', 'to', 'find', 'puppies', 'of', '<KEYWORD>', 'designer', '<KEYWORD>', 'dog', '<KEYWORD>', 'breeds', '<KEYWORD>', 'for', 'sale']","['designer', 'breeds']","[7, 9]",2
"['no', 'i', 'need', 'to', 'find', 'reviews', 'of', 'the', 'volvo', 'xc90', 'suv']","['no', 'i', 'need', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'reviews', 'of', 'the', 'volvo', '<KEYWORD>', 'xc90', '<KEYWORD>', 'suv']","['find', 'xc90']","[4, 9]",2
"['no', 'i', 'need', 'to', 'find', 'the', 'rules', 'for', 'the', 'game', 'called', 'source', 'of', 'the', 'nile']","['no', 'i', 'need', 'to', 'find', 'the', 'rules', 'for', 'the', '<KEYWORD>', 'game', '<KEYWORD>', '<KEYWORD>', 'called', '<KEYWORD>', '<KEYWORD>', 'source', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'nile', '<KEYWORD>']","['game', 'called', 'source', 'nile']","[9, 10, 11, 14]",4
"['no', 'i', 'need', 'to', 'find', 'tourist', 'activities']","['no', 'i', 'need', 'to', '<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'tourist', '<KEYWORD>', 'activities']","['find', 'tourist']","[4, 5]",2
"['no', 'i', 'need', 'to', 'find', 'tourist', 'activities', 'in', 'barbados']","['no', 'i', 'need', 'to', '<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'tourist', '<KEYWORD>', 'activities', 'in', 'barbados']","['find', 'tourist']","[4, 5]",2
